"year","month","flow","port","region","volumen_10k_m3","volume_MCF","value_US","avgPrice_US_MMBTU"
1992,"April","Exports","Highwater","East",24407,861590.576620032,2149610.37,2.46
1992,"April","Exports","Huntingdon","West",564943.4,19943045.4281018,29317605.11,1.41
1992,"April","Exports","Iroquois","East",389027.7,13733052.0082011,29883426.04,2.15
1992,"April","Exports","Kingsgate","West",1056027.6,37278790.0524713,64452849.14,1.7
1992,"April","Exports","Monchy","MidWest",1069130.4,37741331.4958006,46993591.2,1.22
1992,"April","Exports","Niagara Falls","East",624632.7,22050135.1320821,49023812.7,2.2
1992,"April","Exports","Ojibway (Windsor)","MidWest",9984.5,352462.453896944,477338.33,1.35
1992,"April","Exports","Philipsburg","East",19100.4,674262.49230439,1860764.12,2.73
1992,"April","Exports","Reagan Field","MidWest",349.1,12323.5657925207,20681.28,1.34
1992,"April","Exports","Sarnia","MidWest",13875.9,489832.616959147,526378.05,1.06
1992,"April","Exports","Sprague","MidWest",199.2,7031.95160661738,30754.98,4.32
1992,"April","Exports","St Clair","MidWest",46456.2,1639948.54531796,2294778.71,1.4
1992,"April","Imports","Coutts","MidWest",51.6,1821.52963303944,3042.15,1.69
1992,"April","Imports","Emerson","MidWest",2759.9,97427.1246942937,121981.14,1.24
1992,"April","Imports","Niagara Falls","East",8499,300022.875023299,481650.07,1.59
1992,"April","Imports","Ojibway (Windsor)","MidWest",41242.6,1455903.45045722,2327493.9,1.58
1992,"April","Imports","Sarnia","MidWest",66596.2,2350909.91759343,2175885.8,0.93
1992,"April","Imports","St Clair","MidWest",12973.6,457980.559054273,867049.02,1.85
1992,"May","Exports","Aden","MidWest",6633,234151.280154082,380806.99,1.57
1992,"May","Exports","Cardston","MidWest",39001.3,1376783.40459421,1209160.86,0.85
1992,"May","Exports","Cornwall","East",21696.1,765893.199057888,2847882.87,3.68
1992,"May","Exports","Emerson","MidWest",909789.6,32116447.9889748,56636617.44,1.74
1992,"May","Exports","Fort Frances","East",16010.2,565175.459900931,1330867.45,2.33
1992,"May","Exports","Highwater","East",19562,690557.41630848,1980608.16,2.84
1992,"May","Exports","Huntingdon","West",535885.4,18917270.0777751,27067391.81,1.38
1992,"May","Exports","Iroquois","East",371659,13119920.1915854,29328616.14,2.21
1992,"May","Exports","Kingsgate","West",1110971.3,39218355.511751,71069555.98,1.77
1992,"May","Exports","Monchy","MidWest",1076437.1,37999265.0339736,52610847.69,1.35
1992,"May","Exports","Niagara Falls","East",631006.8,22275146.9932053,49815820.47,2.21
1992,"May","Exports","Ojibway (Windsor)","MidWest",5668,200085.851939294,316869.47,1.58
1992,"May","Exports","Philipsburg","East",13350.6,471289.021683263,1431882.44,3.01
1992,"May","Exports","Reagan Field","MidWest",391.3,13813.2663838824,24664.94,1.42
1992,"May","Exports","Sprague","MidWest",100.4,3544.21657281318,24425.58,6.82
1992,"May","Exports","St Clair","MidWest",111601.6,3939643.82741501,6438048.34,1.63
1992,"May","Imports","Coutts","MidWest",30.9,1090.79972211083,1813.12,1.66
1992,"May","Imports","Iroquois","East",2792.5,98577.9360516015,168615.46,1.69
1992,"May","Imports","Niagara Falls","East",28574.3,1008700.27506509,1731938.32,1.7
1992,"May","Imports","Ojibway (Windsor)","MidWest",19079.5,673524.702201086,1405431.06,2.06
1992,"May","Imports","Sarnia","MidWest",69857.6,2466040.47467085,2878617.72,1.15
1992,"May","Imports","St Clair","MidWest",13406,473244.694971449,935250.16,1.93
1992,"June","Exports","Aden","MidWest",3348.8,118215.861145784,198225.94,1.58
1992,"June","Exports","Cardston","MidWest",30731.9,1084865.6304187,1048588.08,0.95
1992,"June","Exports","Cornwall","East",19700,695428.949048004,2513642.9,3.58
1992,"June","Exports","Emerson","MidWest",839223.7,29625403.8430039,57939267.19,1.94
